cik,ticker,company_name,metric,value,unit,form,fiscal_year,fiscal_period,period_end,filed_date,accession_number,taxonomy,concept,source_url
0000001800,ABT,Abbott Laboratories,cash,9882000000.0,USD,10-Q,2023,Q3,2022-12-31,2023-11-01,0001628280-23-035957,us-gaap,CashAndCashEquivalentsAtCarryingValue,https://www.sec.gov/Archives/edgar/data/1800/000162828023035957/
0000001800,ABT,Abbott Laboratories,cash,9882000000.0,USD,10-Q,2024,Q2,2022-12-31,2024-07-31,0001628280-24-033740,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/1800/000162828024033740/
0000001800,ABT,Abbott Laboratories,eps,0.23,USD/shares,10-K,2019,FY,2018-03-31,2020-02-21,0001104659-20-023904,us-gaap,EarningsPerShareDiluted,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/
0000001800,ABT,Abbott Laboratories,operating_income,1392000000.0,USD,10-Q,2021,Q2,2021-06-30,2021-08-04,0001104659-21-100055,us-gaap,OperatingIncomeLoss,https://www.sec.gov/Archives/edgar/data/1800/000110465921100055/
0000001800,ABT,Abbott Laboratories,rd,578000000.0,USD,10-Q,2020,Q1,2020-03-31,2020-04-29,0001104659-20-053384,us-gaap,ResearchAndDevelopmentExpense,https://www.sec.gov/Archives/edgar/data/1800/000110465920053384/
0000001800,ABT,Abbott Laboratories,revenue,11142000000.0,USD,10-Q,2025,Q2,2025-06-30,2025-07-30,0001628280-25-036720,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,https://www.sec.gov/Archives/edgar/data/1800/000162828025036720/
0000001800,ABT,Abbott Laboratories,sga,2150000000.0,USD,10-Q,2018,Q2,2017-06-30,2018-08-01,0001104659-18-048736,us-gaap,SellingGeneralAndAdministrativeExpense,https://www.sec.gov/Archives/edgar/data/1800/000110465918048736/
0000001800,ABT,Abbott Laboratories,shares_outstanding,1737946233.0,shares,10-K,2022,FY,2023-01-31,2023-02-17,0001628280-23-004026,dei,EntityCommonStockSharesOutstanding,https://www.sec.gov/Archives/edgar/data/1800/000162828023004026/
0000006201,AAL,American,debt,3415000000.0,USD,10-Q,2020,Q1,2020-03-31,2020-04-30,0000006201-20-000066,us-gaap,LongTermDebtCurrent,https://www.sec.gov/Archives/edgar/data/6201/000000620120000066/
0000006201,AAL,American,equity,-118000000.0,USD,10-Q,2020,Q1,2019-12-31,2020-04-30,0000006201-20-000066,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/6201/000000620120000066/
0000006201,AAL,American,revenue,11559000000.0,USD,10-Q,2019,Q3,2018-09-30,2019-10-24,0000006201-19-000067,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,https://www.sec.gov/Archives/edgar/data/6201/000000620119000067/
0000320193,AAPL,Apple,capex,4344000000.0,USD,10-Q,2026,Q2,2026-03-28,2026-05-01,0000320193-26-000013,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/
0000320193,AAPL,Apple,cash,34940000000.0,USD,10-K,2021,FY,2021-09-25,2021-10-29,0000320193-21-000105,us-gaap,CashAndCashEquivalentsAtCarryingValue,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/
0000320193,AAPL,Apple,cash,37119000000.0,USD,10-Q,2022,Q1,2021-12-25,2022-01-28,0000320193-22-000007,us-gaap,CashAndCashEquivalentsAtCarryingValue,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/
0000320193,AAPL,Apple,inventory,4973000000.0,USD,10-Q,2021,Q1,2020-12-26,2021-01-28,0000320193-21-000010,us-gaap,InventoryNet,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/
0000320193,AAPL,Apple,inventory,6331000000.0,USD,10-Q,2024,Q1,2023-09-30,2024-02-02,0000320193-24-000006,us-gaap,InventoryNet,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/
0000320193,AAPL,Apple,shares_outstanding,5074013000.0,shares,10-Q,2018,Q1,2018-01-19,2018-02-02,0000320193-18-000007,dei,EntityCommonStockSharesOutstanding,https://www.sec.gov/Archives/edgar/data/320193/000032019318000007/
0001551152,ABBV,AbbVie Inc.,equity,4636000000.0,USD,10-K,2019,FY,2016-12-31,2020-02-21,0001551152-20-000007,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/
0001551152,ABBV,AbbVie Inc.,equity,13076000000.0,USD,10-Q,2021,Q3,2020-12-31,2021-11-02,0001551152-21-000031,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000031/
0001551152,ABBV,AbbVie Inc.,sga,3304000000.0,USD,10-Q,2022,Q3,2022-09-30,2022-11-04,0001551152-22-000045,us-gaap,SellingGeneralAndAdministrativeExpense,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000045/
0001551152,ABBV,AbbVie Inc.,shares_outstanding,1475083514.0,shares,10-K,2018,FY,2019-02-08,2019-02-27,0001551152-19-000008,dei,EntityCommonStockSharesOutstanding,https://www.sec.gov/Archives/edgar/data/1551152/000155115219000008/
0001559720,ABNB,AirBnB Class A,operating_cash_flow,1923000000.0,USD,10-Q,2025,Q1,2024-03-31,2025-05-01,0001559720-25-000017,us-gaap,NetCashProvidedByUsedInOperatingActivities,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000017/
