cik,ticker,company_name,accession_number,form,report_date,filing_date,fiscal_year,fiscal_period,primary_document,source_url
0000006201,AAL,American,0000006201-26-000032,10-Q,2026-03-31,2026-04-23,2026,,aal-20260331.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620126000032/
0000006201,AAL,American,0000006201-26-000014,10-K,2025-12-31,2026-02-18,2026,,aal-20251231.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620126000014/
0000006201,AAL,American,0000006201-25-000052,10-Q,2025-09-30,2025-10-23,2025,,aal-20250930.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620125000052/
0000006201,AAL,American,0000006201-25-000038,10-Q,2025-06-30,2025-07-24,2025,,aal-20250630.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620125000038/
0000006201,AAL,American,0000006201-25-000023,10-Q,2025-03-31,2025-04-24,2025,,aal-20250331.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620125000023/
0000006201,AAL,American,0000006201-25-000010,10-K,2024-12-31,2025-02-19,2025,,aal-20241231.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620125000010/
0000006201,AAL,American,0000006201-24-000060,10-Q,2024-09-30,2024-10-24,2024,,aal-20240930.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620124000060/
0000006201,AAL,American,0000006201-24-000048,10-Q,2024-06-30,2024-07-25,2024,,aal-20240630.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620124000048/
0000006201,AAL,American,0000006201-24-000032,10-Q,2024-03-31,2024-04-25,2024,,aal-20240331.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620124000032/
0000006201,AAL,American,0000006201-24-000010,10-K,2023-12-31,2024-02-21,2024,,aal-20231231.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620124000010/
0000006201,AAL,American,0000006201-23-000092,10-Q,2023-09-30,2023-10-19,2023,,aal-20230930.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620123000092/
0000006201,AAL,American,0000006201-23-000070,10-Q,2023-06-30,2023-07-20,2023,,aal-20230630.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620123000070/
0000006201,AAL,American,0000006201-23-000042,10-Q,2023-03-31,2023-04-27,2023,,aal-20230331.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620123000042/
0000006201,AAL,American,0000006201-23-000018,10-K,2022-12-31,2023-02-22,2023,,aal-20221231.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620123000018/
